"Source:","D:\mohil\Project\Hardware\Workspace\USBtoSDcard\USBtoSDcard.kicad_sch"
"Date:","31-07-2023 12:21:52"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C7, C9, C10, C11, ","7","0.1uF","C_Polarized_US","Capacitor_SMD:C_0201_0603Metric","Polarized capacitor, US symbol",""
"C13, C14, ","2","10uF","C_Polarized_US","Capacitor_SMD:C_0201_0603Metric","Polarized capacitor, US symbol",""
"D1, ","1","BAT760","BAT41","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.1A Small Signal Schottky Diode, DO-35",""
"D3, D4, D5, ","3","ESD9X5.OST5G","ZENER","pcb-LIB:EST","Zener diode",""
"ESP32_PICO_D1, ","1","ESP32-PICO-D4","ESP32-PICO-D4_1","pcb-LIB:esp32_pico_d4","",""
"I1, ","1","DM3AT_SF_PEJM5_copy","DM3AT_SF_PEJM5_copy_1","pcb-LIB:HRS_DM3AT-SF-PEJM5","",""
"J1, ","1","Conn_01x06_Female","Conn_01x06_Female","pcb-LIB:CONN_01x06","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P1, ","1","EC_USB_TYPE_C_16P_QT","EC_USB_TYPE_C_16P_QT_1","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","",""
"Q3, Q4, ","2","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R1, R3, ","2","10K","R","Resistor_SMD:R_0201_0603Metric","Resistor",""
"R4, R5, R6, R7, ","4","3.3K","R","Resistor_SMD:R_0201_0603Metric","Resistor",""
"R8, ","1","10k","R","Resistor_SMD:R_0201_0603Metric","Resistor",""
"R11, R12, ","2","1K","R","Resistor_SMD:R_0201_0603Metric","Resistor",""
"R14, ","1","680R","R","Resistor_SMD:R_0201_0603Metric","Resistor",""
"SW1, ","1","SW_MEC_5G","SW_MEC_5G","Button_Switch_THT:SW_MEC_5GTH9","MEC 5G single pole normally-open tactile switch",""
"U1, ","1","AMS1117-3.3","AMS1117-3.3_1","pcb-LIB:vlt_reg","",""
"U2, ","1","GLB23K","GLB23K_1","pcb-LIB:gl823k","",""
"U3, ","1","TP52113APWR","TP52113APWR_1","powermux:SOP65P640X120-8N","",""
"U3A1, ","1","74ABT123PW_112","74ABT123PW_112_1","pcb-LIB:QUAD BUFFER","",""
